시설,lat,lon
화성-반송-반송 230호,37.20133777,127.0733997
화성-반송-반송 234호,37.20661042,127.0725049
화성-반송-반송 240호,37.20113378,127.0670625
화성-남양-남양 367호,37.16827892,126.7046262
화성-태안-태안 144호,37.23512544,127.0619019
화성-태안-태안 184호,37.20762195,127.0337219
화성-태안-태안 187호,37.21210412,127.0547769
화성-팔탄-화성소방서 484호,37.12703982,126.855712
화성-향남-향남 20호,37.08990187,126.9179357
화성-향남-향남 23호,37.08635772,126.91578
화성-향남-향남 27호,37.0866405,126.9146302
화성-향남-향남 30호,37.08884199,126.913218
화성-팔탄-팔탄 75호,37.16482749,126.9013513
화성-향남-향남 01호,37.13260161,126.9033895
화성-향남-향남 05호,37.14023483,126.9066398
화성-향남-향남 09호,37.12794641,126.9038967
화성-향남-향남 12호,37.13217895,126.9000153
화성-향남-향남 40호,37.0851484,126.9064169
화성-반송-반송 149호,37.20432195,127.0587781
화성-반송-반송 153호,37.20477626,127.0525324
화성-반송-반송 157호,37.19762385,127.0514027
화성-반송-반송 161호,37.20826048,127.0514186
화성-장안-장안 428호,37.07887232,126.8298617
화성-향남-향남 급수탑 9호,37.09199865,126.9730902
화성-태안-태안 80호,37.20820715,127.0352469
화성-태안-태안 83호,37.21195095,127.038312
화성-태안-태안 87호,37.20497159,127.0353682
화성-태안-태안 92호,37.22034345,127.0454183
화성-태안-태안 102호,37.21766513,127.0177751
화성-태안-태안 107호,37.23096135,127.0313633
화성-태안-태안 110호,37.2167379,127.0384406
화성-태안-태안 114호,37.2146333,127.0419699
화성-남양-남양 344호,37.21060377,126.8204151
화성-남양-남양 349호,37.17880356,126.8253301
화성-남양-남양 588호,37.20159113,126.8253752
화성-반송-반송 175호,37.21759935,127.0576145
화성-반송-반송 179호,37.21787285,127.0595333
