단지명,회사명,"공장대표주소(지번, 도로명 주소)",매핑된 업종명
화성동탄일반산업단지,(주)하이텍,경기도 화성시 방교동 840-1,전기전자
화성동탄일반산업단지,(주)하이트로닉스 ,경기도 화성시 방교동 846-1번지,전기전자
화성동탄일반산업단지,(주)한국산업모형,경기도 화성시 방교동 785-8번지,기타
화성동탄일반산업단지,(주)한성엔지니어링,경기도 화성시 방교동 826-9번지,전기전자
화성동탄일반산업단지,(주)한송M&T,경기도 화성시 방교동 835-5번지,기타
화성동탄일반산업단지,(주)한텍시스템,경기도 화성시 방교동 837-9번지,전기전자
화성동탄일반산업단지,(주)해든,경기도 화성시 방교동 826-3번지,전기전자
화성동탄일반산업단지,(주)호산기술,경기도 화성시 방교동 797-9,기타
화성동탄일반산업단지,AP시스템(주)제2사업장,경기도 화성시 방교동 824-8번지,전기전자
화성동탄일반산업단지,K.S테크,경기도 화성시 방교동 840-1,기타
화성동탄일반산업단지,PLUS엔지니어링,경기도 화성시 방교동 827-1번지,목재종이출판
화성동탄일반산업단지,YK TEC,경기도 화성시 방교동 796-4,기타
화성동탄일반산업단지,광흥에스피(주) ,경기도 화성시 방교동 838-12번지,기타
화성동탄일반산업단지,광흥종합기계,경기도 화성시 방교동 838-12번지,기타
화성동탄일반산업단지,금영산업,경기도 화성시 방교동 837-3번지,전기전자
화성동탄일반산업단지,금호전기 주식회사,경기도 화성시 방교동 837-8,기타
화성동탄일반산업단지,나노세미콘(주),경기도 화성시 방교동 837-3번지,전기전자
화성동탄일반산업단지,네오텍,경기도 화성시 방교동 874-15번지,기타
화성동탄일반산업단지,넥스타테크놀로지(주),경기도 화성시 동탄면 방교리 740-183번지,기타
화성동탄일반산업단지,다산엔지니어링,경기도 화성시 방교동 849-3번지,기타
화성동탄일반산업단지,대한고열공업(주),경기도 화성시 방교동 832-10,기타
화성동탄일반산업단지,대형정밀(주),경기도 화성시 방교동 847-3번지,전기전자
화성동탄일반산업단지,대흥사,경기도 화성시 방교동 848-2번지,기타
화성동탄일반산업단지,덕일산업(주) 중앙연구소 ,경기도 화성시 방교동 874-6번지,전기전자
화성동탄일반산업단지,동양엔지니어링,경기도 화성시 방교동 831-2번지,운송장비
화성동탄일반산업단지,동우씨엔피 주식회사,경기도 화성시 방교동 825-4번지,기타
화성동탄일반산업단지,동탄,경기도 화성시 방교동 845,기타
화성동탄일반산업단지,두타아이티 주식회사 ,경기도 화성시 방교동 825-3번지,전기전자
화성동탄일반산업단지,디앤에스아이홀딩스(주),경기도 화성시 방교동 825-3번지,기타
화성동탄일반산업단지,디에스아이테크,경기도 화성시 방교동 797-7번지,전기전자
화성동탄일반산업단지,디엠디스플레이(주),경기도 화성시 방교동 842-2,기타
